codigo_viagem;cnpj;numero_equipamento_fiscal;numero_bilhete;data_emissao_bilhete;hora_emissao_bilhete;categoria_transporte;nu_linha;origem_destino_linha;ponto_origem_viagem;ponto_destino_viagem;tipo_servico;data_viagem;hora_viagem;tipo_viagem;numero_poltrona;plataforma_embarque;tipo_gratitude;valor_tarifa;valor_percentual_desconto;valor_aliquota_icms;valor_pedagio;valor_taxa_embarque;valor_total;origem_emissao;in_passagem_cancelada
2486967;30069314000101;35191230069314002821;370123;2019/12/03;14:31:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Convencional com sanitário;2020/01/13;00:15:00;Regular;23;08;Tarifa Normal - sem desconto;109.77;0.0;12.0;7.83;6.39;123.99;Não Se Aplica;NÃO
2514696;30069314000101;35200130069314002821;467165;2020/01/18;10:52:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Convencional com sanitário;2020/01/20;13:30:00;Regular;42;02;Tarifa Normal - sem desconto;113.68;0.0;12.0;7.83;6.39;127.9;Não Se Aplica;NÃO
2487811;30069314000101;35200130069314002821;466270;2020/01/17;19:12:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Convencional com sanitário;2020/01/18;00:35:00;Regular;50;06;Tarifa Normal - sem desconto;113.68;0.0;12.0;7.83;6.39;127.9;Não Se Aplica;NÃO
2515155;30069314000101;35200130069314002821;474390;2020/01/22;13:10:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Convencional com sanitário;2020/01/22;23:55:00;Regular;21;04;Tarifa Normal - sem desconto;113.68;0.0;12.0;7.83;6.39;127.9;Não Se Aplica;NÃO
2452546;30069314000101;35191230069314002821;433210;2019/12/30;15:29:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Convencional com sanitário;2020/01/05;02:30:00;Regular;22;04;Tarifa Normal - sem desconto;109.77;0.0;12.0;7.83;6.39;123.99;Não Se Aplica;NÃO
2452544;30069314000101;35191230069314002821;433210;2019/12/30;15:29:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Convencional com sanitário;2020/01/05;02:30:00;Regular;22;04;Tarifa Normal - sem desconto;109.77;0.0;12.0;7.83;6.39;123.99;Não Se Aplica;NÃO
2463742;30069314000101;35200130069314002821;443580;2020/01/06;08:58:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Convencional com sanitário;2020/01/06;09:30:00;Regular;49;02;Gratuidade de Criança - Inciso XVII, art. 29 do Decreto nº 2.521/98;109.77;100.0;12.0;0.0;0.0;0.0;Não Se Aplica;NÃO
2514697;30069314000101;35200130069314002821;467165;2020/01/18;10:52:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);SAO PAULO/SP        ;RIO DE JANEIRO/RJ        ;Convencional com sanitário;2020/01/20;13:30:00;Regular;42;02;Tarifa Normal - sem desconto;113.68;0.0;12.0;7.83;6.39;127.9;Não Se Aplica;NÃO
2436115;61084018000103;31191261084018004877;410918;2019/12/07;21:02:00;Interestadual;6030500;BELO HORIZONTE(MG) - RIO DE JANEIRO(RJ);BELO HORIZONTE/MG        ;RIO DE JANEIRO/RJ        ;Convencional com sanitário;2020/01/01;15:00:00;Regular;24;E2;Tarifa Normal - sem desconto;104.48;0.0;18.0;6.61;3.9;114.99;Não Se Aplica;NÃO
2487007;30069314000101;33200130069314000101;4523371;2020/01/13;00:18:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);RIO DE JANEIRO/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2020/01/13;09:30:00;Regular;37;49 A 55;Tarifa Normal - sem desconto;113.93;0.0;20.0;7.83;6.14;127.9;Não Se Aplica;NÃO
2515568;30069314000101;33200130069314000101;4836908;2020/01/25;00:17:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);RIO DE JANEIRO/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2020/01/25;00:35:00;Regular;42;49 A 55;Tarifa Normal - sem desconto;113.93;0.0;20.0;7.83;6.14;127.9;Não Se Aplica;NÃO
2437363;61084018000103;33191261084018005253;209490;2019/12/30;18:51:00;Interestadual;8006361;SAO PAULO(SP) - JUIZ DE FORA(MG);TRES RIOS/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2020/01/03;22:15:00;Regular;15;11;Tarifa Normal - sem desconto;120.06;0.0;20.0;8.74;3.19;131.99;Não Se Aplica;NÃO
2515299;30069314000101;33200130069314000101;4786457;2020/01/23;01:26:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);RIO DE JANEIRO/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2020/01/23;22:30:00;Regular;21;49 A 55;Tarifa Normal - sem desconto;113.93;0.0;20.0;7.83;6.14;127.9;Não Se Aplica;NÃO
2452534;30069314000101;33200130069314000101;4199384;2020/01/01;13:40:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);RIO DE JANEIRO/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2020/01/05;00:15:00;Regular;16;49 A 55;Tarifa Normal - sem desconto;112.02;0.0;20.0;7.83;6.14;123.99;Não Se Aplica;NÃO
2515345;30069314000101;33200130069314000101;4811208;2020/01/24;00:28:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);RIO DE JANEIRO/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2020/01/24;00:35:00;Regular;20;49 A 55;Tarifa Normal - sem desconto;113.93;0.0;20.0;7.83;6.14;127.9;Não Se Aplica;NÃO
2493162;61084018000103;33200161084018005253;216034;2020/01/04;14:45:00;Interestadual;6031561;JUIZ DE FORA(MG) - SANTOS(SP);TRES RIOS/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2020/01/16;07:40:00;Regular;11;11;Tarifa Normal - sem desconto;122.52;0.0;20.0;6.28;3.19;131.99;Não Se Aplica;NÃO
2468153;61084018000103;31200161084018004877;484174;2020/01/05;22:11:00;Interestadual;8006361;SAO PAULO(SP) - JUIZ DE FORA(MG);JUIZ DE FORA/MG        ;SAO PAULO/SP        ;Convencional com sanitário;2020/01/07;22:15:00;Regular;37;11;Tarifa Normal - sem desconto;140.04;0.0;18.0;9.7;5.25;154.99;Não Se Aplica;NÃO
2515570;30069314000101;33200130069314000101;4836908;2020/01/25;00:17:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);RIO DE JANEIRO/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2020/01/25;00:35:00;Regular;42;49 A 55;Tarifa Normal - sem desconto;113.93;0.0;20.0;7.83;6.14;127.9;Não Se Aplica;NÃO
2452532;30069314000101;33200130069314000101;4199384;2020/01/01;13:40:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);RIO DE JANEIRO/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2020/01/05;00:15:00;Regular;16;49 A 55;Tarifa Normal - sem desconto;112.02;0.0;20.0;7.83;6.14;123.99;Não Se Aplica;NÃO
2486946;30069314000101;33200130069314000101;4434392;2020/01/09;14:29:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);RIO DE JANEIRO/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2020/01/12;23:35:00;Regular;9;49 A 55;Tarifa Normal - sem desconto;109.53;0.0;20.0;7.83;6.14;128.95;Não Se Aplica;NÃO
2451984;30069314000101;33191230069314000101;3447087;2019/12/04;18:59:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);RIO DE JANEIRO/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2020/01/02;13:30:00;Regular;54;49 A 55;Tarifa Normal - sem desconto;110.02;0.0;20.0;7.83;6.14;123.99;Não Se Aplica;NÃO
2468125;61084018000103;33200161084018005253;220846;2020/01/07;20:56:00;Interestadual;6031561;JUIZ DE FORA(MG) - SANTOS(SP);TRES RIOS/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2020/01/07;20:30:00;Regular;45;10;Tarifa Normal - sem desconto;118.52;0.0;20.0;6.28;3.19;127.99;Não Se Aplica;NÃO
2479597;16624611000140;35200116624611000140;705902;2020/01/16;00:54:34;Interestadual;8001861;SAO PAULO(SP) - BELO HORIZONTE(MG);SAO PAULO/SP        ;BELO HORIZONTE/MG        ;Executivo;2020/01/16;02:59:00;Regular;22;1;Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98;211.09;64.9;12.0;2.36;7.49;83.94;Presencial;NÃO
2505826;16624611000140;35200116624611000140;702435;2020/01/14;19:44:32;Interestadual;8001861;SAO PAULO(SP) - BELO HORIZONTE(MG);SAO PAULO/SP        ;BELO HORIZONTE/MG        ;Executivo;2020/01/20;11:00:00;Regular;19;1;Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98;211.09;75.0;12.0;2.36;7.49;62.62;Presencial;NÃO
2479596;16624611000140;35200116624611000140;705902;2020/01/16;00:54:34;Interestadual;8001861;SAO PAULO(SP) - BELO HORIZONTE(MG);SAO PAULO/SP        ;BELO HORIZONTE/MG        ;Executivo;2020/01/16;02:59:00;Regular;22;1;Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98;211.09;64.9;12.0;2.36;7.49;83.94;Presencial;NÃO
2457316;16624611000140;35191216624611000140;601116;2019/12/10;16:26:26;Interestadual;8001861;SAO PAULO(SP) - BELO HORIZONTE(MG);SAO PAULO/SP        ;BELO HORIZONTE/MG        ;Executivo;2020/01/06;13:00:00;Regular;5;1;Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98;211.09;50.9;12.0;2.36;7.49;113.5;Presencial;NÃO
2457317;16624611000140;35191216624611000140;601116;2019/12/10;16:26:26;Interestadual;8001861;SAO PAULO(SP) - BELO HORIZONTE(MG);SAO PAULO/SP        ;BELO HORIZONTE/MG        ;Executivo;2020/01/06;13:00:00;Regular;5;1;Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98;211.09;50.9;12.0;2.36;7.49;113.5;Presencial;NÃO
2436774;16624611000140;35191216624611000140;624779;2019/12/17;21:57:20;Interestadual;8001861;SAO PAULO(SP) - BELO HORIZONTE(MG);SAO PAULO/SP        ;BELO HORIZONTE/MG        ;Executivo;2020/01/03;22:15:00;Regular;27;1;Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98;211.09;28.4;12.0;2.36;7.49;161.0;Presencial;NÃO
2443078;78586674000107;35191278586674008515;430750;2019/12/27;14:39:00;Interestadual;9013100;LONDRINA(PR) - SAO PAULO(SP);SAO PAULO/SP        ;LONDRINA/PR        ;Convencional com sanitário;2020/01/04;23:30:00;Regular;20;N/I;Gratuidade Jovem de Baixa Renda 100% - Inciso I, art. 32 da Lei nº 12.852/13;91.94;0.0;12.0;11.37;6.59;109.9;Não Se Aplica;NÃO
2478901;16624611000140;29200116624611010960;594302;2020/01/11;12:29:56;Interestadual;6012900;ESPINOSA(MG) - CACULE(BA);LICINIO DE ALMEIDA/BA        ;ESPINOSA/MG        ;Convencional com sanitário;2020/01/13;15:00:00;Regular;11;0;Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98;19.65;100.0;18.0;0.0;0.0;0.0;Presencial;NÃO
2437741;16624611000140;31200116624611009873;2805908;2020/01/04;13:33:39;Interestadual;8001861;SAO PAULO(SP) - BELO HORIZONTE(MG);BELO HORIZONTE/MG        ;SAO PAULO/SP        ;Executivo;2020/01/05;13:00:00;Regular;43;A1;Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98;226.89;28.35;18.0;2.54;3.9;169.0;Presencial;NÃO
2507239;16624611000140;31200116624611009873;2906206;2020/01/14;17:37:01;Interestadual;8001861;SAO PAULO(SP) - BELO HORIZONTE(MG);BELO HORIZONTE/MG        ;SAO PAULO/SP        ;Executivo;2020/01/25;11:00:00;Regular;3;A1;Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98;226.89;75.0;18.0;2.54;3.9;63.16;Presencial;NÃO
2505787;16624611000140;31200116624611009873;2954291;2020/01/20;00:48:57;Interestadual;8001841;SAO PAULO(SP) - BELO HORIZONTE(MG);BELO HORIZONTE/MG        ;SAO PAULO/SP        ;Leito com ar condicionado;2020/01/20;01:15:00;Regular;10;A1;Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98;359.79;52.3;18.0;4.49;3.9;180.0;Internet;NÃO
2506085;16624611000140;31200116624611009873;2964850;2020/01/21;02:42:44;Interestadual;8001861;SAO PAULO(SP) - BELO HORIZONTE(MG);BELO HORIZONTE/MG        ;SAO PAULO/SP        ;Executivo;2020/01/21;02:59:00;Regular;30;A1;Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98;226.89;65.9;18.0;2.54;3.9;83.81;Internet;NÃO
2436877;16624611000140;31200116624611009873;2800174;2020/01/03;19:49:57;Interestadual;8001861;SAO PAULO(SP) - BELO HORIZONTE(MG);BELO HORIZONTE/MG        ;SAO PAULO/SP        ;Executivo;2020/01/04;02:59:00;Regular;1;A1;Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98;226.89;28.35;18.0;2.54;3.9;169.0;Presencial;NÃO
