codigo_viagem;cnpj;numero_equipamento_fiscal;numero_bilhete;data_emissao_bilhete;hora_emissao_bilhete;categoria_transporte;nu_linha;origem_destino_linha;ponto_origem_viagem;ponto_destino_viagem;tipo_servico;data_viagem;hora_viagem;tipo_viagem;numero_poltrona;plataforma_embarque;tipo_gratitude;valor_tarifa;valor_percentual_desconto;valor_aliquota_icms;valor_pedagio;valor_taxa_embarque;valor_total;origem_emissao;in_passagem_cancelada
1512461;82647884000135;000013;36858;2019/03/21;13:31:00;Interestadual;16009141;FLORIANOPOLIS(SC) - SAO PAULO(SP);JOINVILLE/SC        ;SAO PAULO/SP        ;Convencional com sanitário;2019/03/30;20:20:00;Regular;2;N/I;Tarifa Normal - sem desconto;223.94;0.0;12.0;3.46;2.5;229.9;Não Se Aplica;NÃO
1468989;82647884000135;000013;999073;2019/03/15;16:48:00;Interestadual;16008461;FLORIANOPOLIS(SC) - CAMPINAS(SP);BALNEARIO PICARRAS/SC        ;SAO PAULO/SP        ;Convencional com sanitário;2019/03/17;06:45:00;Regular;61;N/I;Tarifa Normal - sem desconto;132.71;0.0;12.0;2.99;5.3;141.0;Não Se Aplica;NÃO
1446692;82647884000135;000013;734783;2019/03/05;16:06:00;Interestadual;16006631;BALNEARIO CAMBORIU(SC) - SAO PAULO(SP);JOINVILLE/SC        ;SAO PAULO/SP        ;Convencional com sanitário;2019/03/06;19:10:00;Regular;12;N/I;Tarifa Normal - sem desconto;91.57;0.0;12.0;2.7;2.5;96.77;Não Se Aplica;NÃO
1469107;82647884000135;000013;590998;2019/03/16;21:17:00;Interestadual;16009130;FLORIANOPOLIS(SC) - SAO PAULO(SP);JOINVILLE/SC        ;SAO PAULO/SP        ;Convencional com sanitário;2019/03/17;17:45:00;Regular;47;N/I;Tarifa Normal - sem desconto;103.47;0.0;12.0;3.46;2.5;109.43;Não Se Aplica;NÃO
1446171;82647884000135;000013;585349;2019/01/18;10:49:00;Interestadual;16006631;BALNEARIO CAMBORIU(SC) - SAO PAULO(SP);BALNEARIO PICARRAS/SC        ;SAO PAULO/SP        ;Convencional com sanitário;2019/03/04;19:10:00;Regular;2;N/I;Tarifa Normal - sem desconto;98.07;0.0;12.0;2.99;2.0;103.06;Não Se Aplica;NÃO
1512661;82647884000135;000013;74747;2019/03/27;10:54:00;Interestadual;16009630;FLORIANOPOLIS(SC) - SAO PAULO(SP);JOINVILLE/SC        ;SAO PAULO/SP        ;Convencional com sanitário;2019/03/31;18:25:00;Regular;46;N/I;Tarifa Normal - sem desconto;123.94;0.0;12.0;3.46;2.5;129.9;Não Se Aplica;NÃO
1426037;82647884000135;000013;890171;2019/03/01;09:16:00;Interestadual;16009141;FLORIANOPOLIS(SC) - SAO PAULO(SP);JOINVILLE/SC        ;SAO PAULO/SP        ;Convencional com sanitário;2019/03/03;20:20:00;Regular;9;N/I;Tarifa Normal - sem desconto;201.55;0.0;12.0;3.46;2.5;207.51;Não Se Aplica;NÃO
1489347;82647884000135;000013;771824;2019/03/18;15:50:00;Interestadual;16009130;FLORIANOPOLIS(SC) - SAO PAULO(SP);JOINVILLE/SC        ;SAO PAULO/SP        ;Convencional com sanitário;2019/03/18;20:20:00;Regular;52;N/I;Tarifa Normal - sem desconto;123.94;0.0;12.0;3.46;2.5;129.9;Não Se Aplica;NÃO
1447166;82647884000135;000013;766550;2019/03/08;19:48:00;Interestadual;9036100;CURITIBA(PR) - JARAGUA DO SUL(SC);JOINVILLE/SC        ;CURITIBA/PR        ;Convencional com sanitário;2019/03/08;18:50:00;Regular;32;N/I;Tarifa Normal - sem desconto;27.33;0.0;12.0;0.66;2.5;30.49;Não Se Aplica;NÃO
1490222;82647884000135;000013;37122;2019/03/21;14:02:00;Interestadual;9001200;CURITIBA(PR) - JOINVILLE(SC);JOINVILLE/SC        ;CURITIBA/PR        ;Convencional com sanitário;2019/03/22;15:00:00;Regular;8;N/I;Tarifa Normal - sem desconto;27.33;0.0;12.0;0.66;2.5;30.49;Não Se Aplica;NÃO
