codigo_viagem;cnpj;numero_equipamento_fiscal;numero_bilhete;data_emissao_bilhete;hora_emissao_bilhete;categoria_transporte;nu_linha;origem_destino_linha;ponto_origem_viagem;ponto_destino_viagem;tipo_servico;data_viagem;hora_viagem;tipo_viagem;numero_poltrona;plataforma_embarque;tipo_gratitude;valor_tarifa;valor_percentual_desconto;valor_aliquota_icms;valor_pedagio;valor_taxa_embarque;valor_total;origem_emissao;in_passagem_cancelada
2355826;30069314000101;33191230069314000101;3683057;2019/12/14;06:49:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);RIO DE JANEIRO/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2019/12/14;07:30:00;Regular;13;49 A 55;Tarifa Normal - sem desconto;110.02;0.0;20.0;7.83;6.14;123.99;Não Se Aplica;NÃO
2410799;30069314000101;33191230069314000101;4111198;2019/12/29;06:38:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);RIO DE JANEIRO/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2019/12/29;07:30:00;Regular;26;49 A 55;Tarifa Normal - sem desconto;112.02;0.0;20.0;7.83;6.14;116.0;Não Se Aplica;NÃO
2382193;30069314000101;33191230069314000101;3758997;2019/12/17;08:30:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);RIO DE JANEIRO/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2019/12/17;09:30:00;Regular;17;49 A 55;Tarifa Normal - sem desconto;112.02;0.0;20.0;7.83;6.14;125.99;Não Se Aplica;NÃO
2329070;30069314000101;33191130069314000101;3288636;2019/11/27;21:01:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);RIO DE JANEIRO/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2019/12/03;09:30:00;Regular;41;49 A 55;Tarifa Normal - sem desconto;110.02;0.0;20.0;7.83;6.14;69.0;Não Se Aplica;NÃO
2335327;61084018000103;31191261084018004877;395145;2019/12/01;12:38:00;Interestadual;6031561;JUIZ DE FORA(MG) - SANTOS(SP);JUIZ DE FORA/MG        ;SANTOS/SP        ;Convencional com sanitário;2019/12/08;20:30:00;Regular;21;10;Tarifa Normal - sem desconto;160.29;0.0;18.0;10.45;5.25;175.99;Não Se Aplica;NÃO
2383325;30069314000101;33191230069314000101;3926814;2019/12/23;00:26:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);RIO DE JANEIRO/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2019/12/23;00:35:00;Regular;31;49 A 55;Tarifa Normal - sem desconto;112.02;0.0;20.0;7.83;6.14;125.99;Não Se Aplica;NÃO
2410325;30069314000101;33191230069314000101;4039756;2019/12/26;23:28:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);RIO DE JANEIRO/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2019/12/26;23:59:00;Regular;31;49 A 55;Tarifa Normal - sem desconto;112.02;0.0;20.0;7.83;6.14;125.99;Não Se Aplica;NÃO
2410797;30069314000101;33191230069314000101;4111198;2019/12/29;06:38:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);RIO DE JANEIRO/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2019/12/29;07:30:00;Regular;26;49 A 55;Tarifa Normal - sem desconto;112.02;0.0;20.0;7.83;6.14;116.0;Não Se Aplica;NÃO
2355765;30069314000101;33191230069314000101;3680265;2019/12/13;21:20:00;Interestadual;8008031;SAO PAULO(SP) - RIO DE JANEIRO(RJ);RIO DE JANEIRO/RJ        ;SAO PAULO/SP        ;Convencional com sanitário;2019/12/13;22:30:00;Regular;51;49 A 55;Tarifa Normal - sem desconto;110.02;0.0;20.0;7.83;6.14;123.99;Não Se Aplica;NÃO
2410003;30069314000101;33191230069314000101;4000127;2019/12/25;20:18:00;Interestadual;8008041;SAO PAULO(SP) - RIO DE JANEIRO(RJ);RIO DE JANEIRO/RJ        ;SAO PAULO/SP        ;Leito com ar condicionado;2019/12/25;20:30:00;Regular;2;49 A 55;Tarifa Normal - sem desconto;226.02;0.0;20.0;7.83;6.14;239.99;Não Se Aplica;NÃO
